contrast_threshold,octave_layers,ransac_threshold,lowe_ratio,edge_threshold,gaussian_blur,accuracy,true_positive_rate,false_positive_rate,false_negative_rate
0.02,6,3.0,0.75,15,1.0,0.4468085058850159,0.48837208734451065,0.15999999680000007,0.5116279010275826
0.02,6,3.0,0.75,15,1.3,0.3978494580876403,0.4302325531368308,0.1590909054752067,0.5697674352352624
0.02,6,3.0,0.75,15,1.6,0.45652173416824204,0.48837208734451065,0.1249999973958334,0.5116279010275826
0.02,6,3.0,0.75,20,1.0,0.45161289836975377,0.48837208734451065,0.14285713994169102,0.5116279010275826
0.02,6,3.0,0.75,20,1.3,0.3956043912570946,0.4186046462952948,0.12195121653777521,0.5813953420767983
0.02,6,3.0,0.75,20,1.6,0.44086021031333106,0.4767441805029747,0.14583333029513895,0.5232558078691185
0.02,6,3.0,0.8,10,1.0,0.4374999954427084,0.48837208734451065,0.19230768860946754,0.5116279010275826
0.02,6,3.0,0.8,10,1.3,0.4042553148483477,0.44186045997836676,0.17391303969754263,0.5581395283937264
0.02,6,3.0,0.8,10,1.6,0.4468085058850159,0.48837208734451065,0.15999999680000007,0.5116279010275826
0.02,6,3.0,0.8,15,1.0,0.4299999957,0.49999999418604657,0.24561403077870123,0.49999999418604657
0.02,6,3.0,0.8,15,1.3,0.4255319103666818,0.4651162736614387,0.16666666319444454,0.5348837147106545
0.02,6,3.0,0.8,15,1.6,0.4387755057267806,0.49999999418604657,0.21818181421487612,0.49999999418604657
0.02,6,3.0,0.8,20,1.0,0.4444444399551067,0.5116279010275826,0.2280701714373654,0.48837208734451065
0.02,6,3.0,0.8,20,1.3,0.4148936126075148,0.45348836681990273,0.1702127623358987,0.5465116215521905
0.02,6,3.0,0.8,20,1.6,0.4374999954427084,0.48837208734451065,0.19230768860946754,0.5116279010275826
0.02,8,1.0,0.7,10,1.0,0.333333329749104,0.360465112087615,0.18421052146814418,0.6395348762844782
0.02,8,1.0,0.7,10,1.3,0.370786512687792,0.3837209257706869,0.08333333101851859,0.6162790626014063
0.02,8,1.0,0.7,10,1.6,0.4382022422673906,0.45348836681990273,0.0714285697278912,0.5465116215521905
0.02,8,1.0,0.7,15,1.0,0.3645833295355903,0.40697673945375884,0.22222221728395075,0.5930232489183344
0.02,8,1.0,0.7,15,1.3,0.35955055775785894,0.372093018929151,0.0857142832653062,0.6279069694429422
0.02,8,1.0,0.7,15,1.6,0.4157303324075244,0.4302325531368308,0.07499999812500005,0.5697674352352624
0.02,8,1.0,0.7,20,1.0,0.38947368011080336,0.4302325531368308,0.19565216965973545,0.5697674352352624
0.02,8,1.0,0.7,20,1.3,0.38202246761772507,0.39534883261222287,0.08108107888970058,0.6046511557598703
0.02,8,1.0,0.7,20,1.6,0.42696628733745745,0.44186045997836676,0.07317072992266513,0.5581395283937264
0.02,8,1.0,0.75,10,1.0,0.39999999578947376,0.44186045997836676,0.19148935762788602,0.5581395283937264
0.02,8,1.0,0.75,10,1.3,0.36956521337429116,0.39534883261222287,0.1499999962500001,0.6046511557598703
0.02,8,1.0,0.75,10,1.6,0.4444444395061729,0.4651162736614387,0.09090908884297526,0.5348837147106545
0.02,8,1.0,0.75,15,1.0,0.41666666232638894,0.4651162736614387,0.1999999960000001,0.5348837147106545
